0.29551,-45.344,-28.714,-17.19,1.0686,3.4093,39.353,0.067935,-28.428,66.651,-0.42004,-7.2616,1.4271
0.30238,-45.106,-31.967,-16.509,1.2446,4.567,41.623,0.855,-43.324,84.834,0.5322,-8.2743,1.7547
0.30925,-44.59,-35.514,-15.741,1.3651,5.7991,44.416,1.7818,-59.485,99.989,1.2649,-9.0355,1.981
0.31613,-43.886,-39.262,-14.924,1.4596,6.9602,46.995,2.5136,-74.63,110.59,1.7647,-9.5557,2.1141
0.323,-43.077,-43.129,-14.087,1.5339,7.9138,48.673,2.98,-86.675,115.59,2.0486,-9.8663,2.1712
0.32987,-42.228,-47.05,-13.249,1.5942,8.588,49.097,3.2064,-94.367,114.98,2.1597,-10.004,2.1736
0.33674,-41.381,-50.969,-12.423,1.6457,8.9661,48.28,3.2721,-97.342,109.65,2.158,-9.9973,2.143
0.34362,-40.555,-54.838,-11.615,1.6912,9.0663,46.493,3.2722,-95.892,101.09,2.1079,-9.8687,2.097
0.35049,-39.745,-58.617,-10.824,1.7311,8.9325,44.181,3.2841,-90.784,91.199,2.065,-9.6346,2.0495
0.35736,-38.936,-62.271,-10.046,1.7646,8.6313,41.882,3.3491,-83.171,82.079,2.0657,-9.3144,2.0129
0.36423,-38.104,-65.775,-9.2699,1.7896,8.2351,40.091,3.4676,-74.387,75.756,2.1264,-8.9317,2.0012
0.37111,-37.228,-69.117,-8.4792,1.8034,7.7959,39.074,3.6092,-65.559,73.767,2.2415,-8.5143,2.0324
0.37798,-36.295,-72.294,-7.649,1.8019,7.3331,38.777,3.732,-57.334,76.977,2.3881,-8.092,2.127
0.38485,-35.304,-75.315,-6.7467,1.7814,6.8461,38.876,3.8012,-49.939,85.524,2.5397,-7.6923,2.3053
0.39172,-34.258,-78.198,-5.7331,1.7387,6.327,38.886,3.7986,-43.369,98.62,2.6826,-7.3374,2.5837
0.39859,-33.162,-80.967,-4.5647,1.6722,5.762,38.269,3.7232,-37.499,114.2,2.8117,-7.0405,2.9733
0.40547,-32.023,-83.644,-3.1965,1.5826,5.1364,36.552,3.5847,-32.151,128.79,2.9213,-6.8045,3.4777
0.41234,-30.851,-86.25,-1.5874,1.4726,4.4489,33.511,3.3952,-27.129,138.23,3.0055,-6.6175,4.0871
0.41921,-29.657,-88.79,0.29248,1.3474,3.7265,29.324,3.1639,-22.288,139.33,3.0604,-6.4467,4.7721
0.42608,-28.457,-91.248,2.4526,1.2147,3.0263,24.542,2.8986,-17.648,131.56,3.0741,-6.2356,5.4813
0.43296,-27.273,-93.582,4.8761,1.0834,2.415,19.836,2.6094,-13.407,117.21,3.0309,-5.9138,6.1481
